date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-01 09:10:28,LaMarkazia,,0,0,0,"Bitcoin SV BSV بالعملات العربية ٭ ٭ 814.16 درهم ٭ ٭ 83.56 دينار ٭ ٭ 39,455.68 فرنك ٭ ٭ 26,588.40 دينار ٭ ٭ 3,464.67 جنيه ٭ ٭ 263,776.77 دينار ٭ ٭ 157.09 دينار ٭ ٭ 98,938.38 فرنك ٭ ٭ 67.82 دينار ٭ ٭ 335,373.32 ليرة $BSV = $221.66",,,,1234043316796301312,https://twitter.com/LaMarkazia/status/1234043316796301312
2020-03-01 08:15:12,LaMarkazia,,0,0,0,"أخر مستجدات أسعار العملات المشفرة Top 10 خلال ال24 ساعة الماضية أكبر الرابحين خلال ال24 ساعة الأخيرة كان Bitcoin SV BSV، حيث بلغ سعر التداول 221.41 دولار محققاً نسبة إرتفاع قدرها 1.35% أما Tezos XTZ، فقد كان الخاسر الأكبر، حيث بلغ سعر التداول 2.72 دولار هابطاً ما نسبته -7.37%",,,,1234029407016275968,https://twitter.com/LaMarkazia/status/1234029407016275968
2020-02-29 22:28:08,mahmoudshokri7,mahmoudshokri7,0,0,0,"اكسب نصف ايثريوم والاحالة عشرة في المئة #بتكوين #البيتكوين #العملات_الرقميه #العملات_المشفرة #btc #bitcoin #الايثريوم #التليجرام #free_eth",,,#btc #btc #bitcoin #bitcoin #free_eth,1233881669024784386,https://twitter.com/mahmoudshokri7/status/1233881669024784386
2020-02-29 22:19:42,ArabbitcoinInfo,,0,0,0,"تتراجع Bitcoin عن أدنى مستوى لها في 4 أسابيع عند 8.4K دولار حيث تتعقب هدف المخزون إلى التدفق https://www.arabbitcoin.info/2020/02/28/%d8%aa%d8%aa%d8%b1%d8%a7%d8%ac%d8%b9-bitcoin-%d8%b9%d9%86-%d8%a3%d8%af%d9%86%d9%89-%d9%85%d8%b3%d8%aa%d9%88%d9%89-%d9%84%d9%87%d8%a7-%d9%81%d9%8a-4-%d8%a3%d8%b3%d8%a7%d8%a8%d9%8a%d8%b9-%d8%b9%d9%86/",,,,1233879544609808385,https://twitter.com/ArabbitcoinInfo/status/1233879544609808385
2020-02-29 21:50:41,free_life000,,0,0,1,"#الانترنت_المظلم هذا صعب ع الشخص العادي يدخله .. من اسمه مظلم .. يعني تولج إليه تكتب نهايتك او متاعب انت ف غنى عنها .. ملاحظه :- التعامل بالتجاره ف هذا المكان يتم عن طريق العملات الرقميه المشفره وعلى رأسهم العمله الأضخم ال ( Bitcoin )",,,,1233872243471638530,https://twitter.com/free_life000/status/1233872243471638530
2020-02-29 21:10:28,LaMarkazia,,0,0,0,"Bitcoin SV BSV بالعملات العربية ٭ ٭ 298.76 دينار ٭ ٭ 2,033.60 درهم ٭ ٭ 75,644.16 أوقية ٭ ٭ 81.58 ريال ٭ ٭ 771.54 ريال ٭ ٭ 794.95 ريال ٭ ٭ 11,590.30 جنيه ٭ ٭ 124,378.49 شلن ٭ ٭ 109,132.99 ليرة ٭ ٭ 603.35 دينار $BSV = $211.89",,,,1233862121580093442,https://twitter.com/LaMarkazia/status/1233862121580093442
2020-02-29 20:39:26,Sell_bitcoin1,Sell_bitcoin1,0,0,0,"هذا إعلان جديد وراح انزل كل من اعلن عن شركة #البيتكوين هنا سجل رقمك وبيدقون عليك يسرقونك ",,,,1233854311400181760,https://twitter.com/Sell_bitcoin1/status/1233854311400181760
2020-02-29 20:15:12,LaMarkazia,,0,0,1,"ملخص عن أخر أسعار العملات المشفرة Top 10 خلال ال24 ساعة الماضية نجم اليوم كان Tezos XTZ، محققاً سعر 2.88 دولار، ما يعادل نسبة إرتفاع قدرها 6.49% في خلال 24 ساعة فقط أما Bitcoin SV BSV، فقد كان الخاسر الأكبر، حيث بلغ سعر التداول 210.38 دولار هابطاً ما نسبته -0.92%",,,,1233848213163192325,https://twitter.com/LaMarkazia/status/1233848213163192325
2020-02-29 19:31:33,MHardoum,,1,0,3,"تابعني لكل جديد لقد كان الذهب أفضل شكل من أشكال المال في العالم منذ آلاف السنين. ومع ذلك ، نحن نعيش الآن في عالم رقمي ، وشبكة الإنترنت هي البنية التحتية الأساسية حيث يتم إجراء المدفوعات. حقيقة: اليوم #Bitcoin هو أفضل شكل من أشكال المال في العالم!",,,#Bitcoin #Bitcoin,1233837228390002689,https://twitter.com/MHardoum/status/1233837228390002689
2020-02-29 19:09:46,MHardoum,,1,0,3,"الاحتياطي الفيدرالي: ""سوف نستخدم أدواتنا ونتصرف حسب الاقتضاء لدعم الاقتصاد"". الترجمة الخاصة بي: ""سنقوم بتخفيض أسعار الفائدة ونطبع الأموال من دون شيء لدفع الأسهم إلى الأعلى"" هذا صعودي ل #Bitcoin حيث ستزول الثقة من الدولار الأمريكي قريبًا.",,,#Bitcoin #Bitcoin,1233831748041105410,https://twitter.com/MHardoum/status/1233831748041105410
